1,text,text,me,sick, , ,0.0
2,So either @XiberKernel got me sick! or I may have gotten food poisoning. It's gonna be a looooong night,So either @XiberKernel got me sick! or I may have gotten food poisoning, ,gotten,poisoning, ,0.6
2,So either @XiberKernel got me sick! or I may have gotten food poisoning. It's gonna be a looooong night, It's gonna be a looooong night,It,gon, , ,0.0
2,So either @XiberKernel got me sick! or I may have gotten food poisoning. It's gonna be a looooong night, It's gonna be a looooong night,It,night, , ,0.0
3,I got food poisoning Ã­Â Â½Ã­Â²Â”,I got food poisoning ,I,got,poisoning, ,0.9
4,@RogerVilchis pretty much i have food poisoning for the second day in a row.  Hahaha that is fucking awesome Ã­Â Â½Ã­Â¸Âˆ,@RogerVilchis pretty much i have food poisoning for the second day in a row,i,have,poisoning, ,0.9
4,@RogerVilchis pretty much i have food poisoning for the second day in a row.  Hahaha that is fucking awesome Ã­Â Â½Ã­Â¸Âˆ,  Hahaha that is fucking awesome ,that,fucking, , ,0.0
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night.,I think I have food poisoning,I,think, , ,100.0
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night.,I think I have food poisoning,I,have,poisoning, ,0.9
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night., I've been throwing up like a sick grade schooler,I,throwing, , ,0.0
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross,Honestly,@maggiehendricks, , ,0.0
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross,I,sure, , ,0.0
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross,I,had,case,poisoning,0.8
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross,I,paranoid, , ,0.0
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross, ,feeling,gross, ,0.0
7,I got food poisoning last Saturday and my guts are still not happy.,I got food poisoning last Saturday and my guts are still not happy,I,got,poisoning, ,0.9
7,I got food poisoning last Saturday and my guts are still not happy.,I got food poisoning last Saturday and my guts are still not happy,guts,happy, , ,0.0
8,Should I go with pink eye or food poisoning if I call in sick today?,Should I go with pink eye or food poisoning if I call in sick today?,I,go, ,poisoning,0.15
8,Should I go with pink eye or food poisoning if I call in sick today?,Should I go with pink eye or food poisoning if I call in sick today?,I,call, , ,0.0
9,@Eroticagoddess4 if we can aim for Friday. Not sure if I have the flu or food poisoning but in lousy shape either way.,@Eroticagoddess4 if we can aim for Friday,we,aim, , ,0.0
9,@Eroticagoddess4 if we can aim for Friday. Not sure if I have the flu or food poisoning but in lousy shape either way., Not sure if I have the flu or food poisoning but in lousy shape either way,I,have,poisoning, ,0.15
10,My puke muscles are all sore after Thursday's food poisoning.,My puke muscles are all sore after Thursday's food poisoning,muscles,sore, ,poisoning,0.0
11,Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),I,order, , ,0.0
11,Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),I,gotten,poisoning, ,0.1
12,Sneak Peek! Ã¢Â€Â¢ Monday night food poisoning attacked my body and I slept most of the night on theÃ¢Â€Â¦ https://t.co/vnreD2JuYW,Sneak Peek!  Monday night food poisoning attacked my body and I slept most of the night on the https://t,poisoning,attacked,body, ,0.8
12,Sneak Peek! Ã¢Â€Â¢ Monday night food poisoning attacked my body and I slept most of the night on theÃ¢Â€Â¦ https://t.co/vnreD2JuYW,Sneak Peek!  Monday night food poisoning attacked my body and I slept most of the night on the https://t,I,slept,most, ,0.0
13,I think I got food poisoning Ã­Â Â½Ã­Â¸Â·Ã­Â Â½Ã­Â¸Â·,I think I got food poisoning ,I,think, , ,100.0
13,I think I got food poisoning Ã­Â Â½Ã­Â¸Â·Ã­Â Â½Ã­Â¸Â·,I think I got food poisoning ,I,got,poisoning, ,0.9
14,So this is either food poisoning or the flu.  Either way it seems appropriate for my birthday.,So this is either food poisoning or the flu,this,poisoning, , ,0.0
14,So this is either food poisoning or the flu.  Either way it seems appropriate for my birthday.,  Either way it seems appropriate for my birthday,it,seems, , ,0.0
15,I think Amina got food poisoning wtf,I think Amina got food poisoning wtf,I,think, , ,100.0
15,I think Amina got food poisoning wtf,I think Amina got food poisoning wtf,Amina,got,wtf, ,0.0
16,80% sure I have food poisoning and it is terrible.,80% sure i have food poisoning ,%,have,poisoning, ,0.0
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me Ã­Â Â½Ã­Â¸Â?Ã­Â Â½Ã­Â¸Â? but I should be going back to school tomorrow.,@OriginalFandoms Well I found out I have gotten food poisoning,I,found, , ,0.0
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me Ã­Â Â½Ã­Â¸Â?Ã­Â Â½Ã­Â¸Â? but I should be going back to school tomorrow.,@OriginalFandoms Well I found out I have gotten food poisoning,I,gotten,poisoning, ,0.9
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me Ã­Â Â½Ã­Â¸Â?Ã­Â Â½Ã­Â¸Â? but I should be going back to school tomorrow., Yay me  but I should be going back to school tomorrow, ,Yay,me, ,0.0
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me Ã­Â Â½Ã­Â¸Â?Ã­Â Â½Ã­Â¸Â? but I should be going back to school tomorrow., Yay me  but I should be going back to school tomorrow,I,going, , ,0.0
18,Let me find out I have food poisoning and IMA be mad asl.,let me find out i have food poisoning ,me,find,i, ,0.0
18,Let me find out I have food poisoning and IMA be mad asl.,let me find out i have food poisoning , ,have,poisoning, ,0.6
19,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ LincolnÃ¢Â€Â¦ https://t.co/VGmjdZCZwP,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincoln https://t,Nothing,#barflyfe, , ,0.0
19,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ LincolnÃ¢Â€Â¦ https://t.co/VGmjdZCZwP,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincoln https://t, ,come,poisoning, ,0.0
19,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ LincolnÃ¢Â€Â¦ https://t.co/VGmjdZCZwP,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincoln https://t, ,#barflyfe,night, ,0.0
21,One way to loose those last 7 pounds. Food poisoning. Good thing my guy was there to take care of me the whole day. #swoon #relationship,One way to loose those last 7 pounds, ,loose,pounds, ,0.0
21,One way to loose those last 7 pounds. Food poisoning. Good thing my guy was there to take care of me the whole day. #swoon #relationship, Good thing my guy was there to take care of me the whole day,guy,was, , ,0.0
21,One way to loose those last 7 pounds. Food poisoning. Good thing my guy was there to take care of me the whole day. #swoon #relationship, Good thing my guy was there to take care of me the whole day,guy,take,care, ,0.0
22,There have been few times where I was scared that I was dying! but food poisoning is definitely the worst one.,There have been few times where I was scared that I was dying! but food poisoning is definitely the worst one,I,dying, , ,0.0
22,There have been few times where I was scared that I was dying! but food poisoning is definitely the worst one.,There have been few times where I was scared that I was dying! but food poisoning is definitely the worst one,poisoning,one, , ,0.0
23,Have some kind of stomach bug or food poisoning Ã­Â Â½Ã­Â¸Â“ &amp;&amp; the #ChicagoBlizzard is happening outside Ã¢Â?Â„Ã¯Â¸Â?Ã¢Â?Â„Ã¯Â¸Â?Ã­Â Â¼Ã­Â¼Â€Ã­Â Â¼Ã­Â¼Â€,Have some kind of stomach bug or food poisoning  &amp;&amp; the #ChicagoBlizzard is happening outside , ,Have,kind,poisoning,0.1
23,Have some kind of stomach bug or food poisoning Ã­Â Â½Ã­Â¸Â“ &amp;&amp; the #ChicagoBlizzard is happening outside Ã¢Â?Â„Ã¯Â¸Â?Ã¢Â?Â„Ã¯Â¸Â?Ã­Â Â¼Ã­Â¼Â€Ã­Â Â¼Ã­Â¼Â€,Have some kind of stomach bug or food poisoning  &amp;&amp; the #ChicagoBlizzard is happening outside ,#ChicagoBlizzard,happening, , ,0.0
24,I got food poisoning and I'm just....argh,i got food poisoning ,i,got,poisoning, ,0.9
25,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,outta,@High_Im_Kels, , ,0.0
25,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,I,think, , ,100.0
25,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,I,have,poisoning, ,0.9
26,trying to figure out if this is food poisoning or the stomach flu .,trying to figure out if this is food poisoning or the stomach flu ,this,poisoning, , ,0.0
27,Ugh! food poisoning. Guess I'm not being productive today., Guess I'm not being productive today,I,productive, , ,0.0
28,Food poisoning ain't nothing to play with... Fuck you panera pray for mike!!,Food poisoning ain't nothing to play with,poisoning,nothing, , ,0.0
28,Food poisoning ain't nothing to play with... Fuck you panera pray for mike!!,Food poisoning ain't nothing to play with,poisoning,play, , ,0.0
28,Food poisoning ain't nothing to play with... Fuck you panera pray for mike!!, Fuck you panera pray for mike!!,you,pray, , ,0.0
29,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend. #sharingplates I'm invincible,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend,wife,has,poisoning, ,0.2
29,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend. #sharingplates I'm invincible,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend,we,have,idea, ,0.0
29,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend. #sharingplates I'm invincible,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend, ,ate,things, ,0.0
29,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend. #sharingplates I'm invincible,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend,weekend,ate, , ,0.0
29,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend. #sharingplates I'm invincible, #sharingplates I'm invincible,I,invincible, , ,0.0
30,S/O to star grill for the food poisoning ! @woahitstaryn @LoGro73,S/O to star grill for the food poisoning ! @woahitstaryn @LoGro73,@LoGro73,S, , ,0.0
30,S/O to star grill for the food poisoning ! @woahitstaryn @LoGro73,S/O to star grill for the food poisoning ! @woahitstaryn @LoGro73,@LoGro73,star, , ,0.0
31,Stomach virus/food poisoning..this is hell Ã­Â Â½Ã­Â¸ÂžÃ­Â Â½Ã­Â¸Â­,Stomach virus/food poisoning, ,Stomach,poisoning, ,0.0
31,Stomach virus/food poisoning..this is hell Ã­Â Â½Ã­Â¸ÂžÃ­Â Â½Ã­Â¸Â­,this is hell ,this,hell, , ,0.0
32,@_LeeLaw our stomachs can't handle it. Pretty sure I had food poisoning from it,@_LeeLaw our stomachs can't handle it,stomachs,handle,it, ,0.0
32,@_LeeLaw our stomachs can't handle it. Pretty sure I had food poisoning from it, Pretty sure I had food poisoning from it,I,had,poisoning, ,0.0
33,You haven't lived until you've gotten extreme and messy food poisoning on a 12 hour flight. It was basically my worst nightmare.,You haven't lived until you've gotten extreme and messy food poisoning on a 12 hour flight,You,lived, , ,0.0
33,You haven't lived until you've gotten extreme and messy food poisoning on a 12 hour flight. It was basically my worst nightmare.,You haven't lived until you've gotten extreme and messy food poisoning on a 12 hour flight,you,gotten,poisoning, ,0.2
33,You haven't lived until you've gotten extreme and messy food poisoning on a 12 hour flight. It was basically my worst nightmare., It was basically my worst nightmare,It,nightmare, , ,0.0
34,@RestinpeaceRene calm down alcoholic!!! I think I have like food poisoning Ã­Â Â½Ã­Â´Â«,@RestinpeaceRene calm down alcoholic!!! I think I have like food poisoning , ,calm,!!!, ,0.0
34,@RestinpeaceRene calm down alcoholic!!! I think I have like food poisoning Ã­Â Â½Ã­Â´Â«,@RestinpeaceRene calm down alcoholic!!! I think I have like food poisoning ,I,think, , ,100.0
34,@RestinpeaceRene calm down alcoholic!!! I think I have like food poisoning Ã­Â Â½Ã­Â´Â«,@RestinpeaceRene calm down alcoholic!!! I think I have like food poisoning ,I,like, , ,0.0
35,Shoutout to Bdubs for giving me food poisoning this year. Fuck yo wings,Shoutout to Bdubs for giving me food poisoning this year, ,giving,poisoning, ,0.6
35,Shoutout to Bdubs for giving me food poisoning this year. Fuck yo wings, Fuck yo wings, ,Fuck,wings, ,0.0
36,Got food poisoning Ã­Â Â½Ã­Â¸Â· Im dyin,Got food poisoning  Im dyin,dyin,Got, , ,0.0
37,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier.,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier, ,giving,food, ,0.0
37,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier.,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier,you,made, , ,0.0
37,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier.,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier,loss,shout, , ,0.0
37,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier.,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier,loss,@TBKtweets, , ,0.0
38,Nothing says Christmas like food poisoning.,Nothing says Christmas like food poisoning,Nothing,says,Christmas,poisoning,0.0
39,After 7 hours in the ER! severe dehydration! touch of the flu! and food poisoning is the outcome. #MerryChristmas Ã­Â Â½Ã­Â¸Â·Ã­Â Â½Ã­Â¸Â«,After 7 hours in the ER! severe dehydration! touch of the flu! and food poisoning is the outcome,touch,outcome, ,poisoning,0.0
40,Pretty positive I have food poisoning Ã­Â Â½Ã­Â¸Â©,Pretty positive I have food poisoning ,I,have,poisoning, ,0.9
41,Food poisoning is the absolute worst ...,Food poisoning is the absolute worst ,poisoning,worst, , ,0.8
42,Looks like no partying for me tonight. Stuck in bed with food poisoning. Ã­Â Â½Ã­Â¸Â”,Looks like no partying for me tonight,tonight,Looks, , ,0.0
43,@FayroeFox the good news is food poisoning doesn't usually last long. Drink lots of water. Feel better soon.,@FayroeFox the good news is food poisoning doesn't usually last long,news,poisoning, , ,0.0
43,@FayroeFox the good news is food poisoning doesn't usually last long. Drink lots of water. Feel better soon., Drink lots of water, ,Drink,lots, ,0.0
44,Pretty sure I have food poisoning... Shoot me now! Ã­Â Â½Ã­Â¸Â©,Pretty sure I have food poisoning,I,have,poisoning, ,0.9
44,Pretty sure I have food poisoning... Shoot me now! Ã­Â Â½Ã­Â¸Â©, Shoot me now! , ,Shoot,me, ,0.0
45,jfc so many ppl are arriving sick and getting food poisoning... #MFF,jfc so many ppl are arriving sick and getting food poisoning,ppl,arriving, , ,0.0
45,jfc so many ppl are arriving sick and getting food poisoning... #MFF,jfc so many ppl are arriving sick and getting food poisoning,ppl,getting,poisoning, ,0.2
46,I think I might have gotten food poisoning or something because I just spent the last 14 hours dying lollol.,I think I might have gotten food poisoning or something because I just spent the last 14 hours dying lollol,I,think, , ,0.15
46,I think I might have gotten food poisoning or something because I just spent the last 14 hours dying lollol.,I think I might have gotten food poisoning or something because I just spent the last 14 hours dying lollol,I,gotten,something, ,0.0
46,I think I might have gotten food poisoning or something because I just spent the last 14 hours dying lollol.,I think I might have gotten food poisoning or something because I just spent the last 14 hours dying lollol,I,spent,hours, ,0.0
47,I have food poisoning! which is God's way of telling me that I've had it too good for too long.,I have food poisoning! which is God's way of telling me that I've had it too good for too long,I,have,food, ,0.0
47,I have food poisoning! which is God's way of telling me that I've had it too good for too long.,I have food poisoning! which is God's way of telling me that I've had it too good for too long,food,way, , ,0.0
47,I have food poisoning! which is God's way of telling me that I've had it too good for too long.,I have food poisoning! which is God's way of telling me that I've had it too good for too long, ,telling,me, ,0.0
47,I have food poisoning! which is God's way of telling me that I've had it too good for too long.,I have food poisoning! which is God's way of telling me that I've had it too good for too long,I,had,it, ,0.0
48,And he also thinks diarrhea is funny.,And he also thinks diarrhea is funny,he,thinks, , ,0.0
48,And he also thinks diarrhea is funny.,And he also thinks diarrhea is funny,diarrhea,funny, , ,0.0
49,if you got food poisoning would you go there again? noooo lmao exactly,if you got food poisoning would you go there again? noooo lmao exactly,you,got,food, ,0.0
49,if you got food poisoning would you go there again? noooo lmao exactly,if you got food poisoning would you go there again? noooo lmao exactly,you,go, , ,0.0
49,if you got food poisoning would you go there again? noooo lmao exactly,if you got food poisoning would you go there again? noooo lmao exactly, ,noooo,lmao, ,0.0
50,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food. That's why food poisoning is prevalent.,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food,I,seen, , ,0.0
50,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food. That's why food poisoning is prevalent.,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food, ,doing,things, ,0.0
50,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food. That's why food poisoning is prevalent.,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food, ,preparing,food, ,0.0
50,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food. That's why food poisoning is prevalent., That's why food poisoning is prevalent,That,'s, , ,0.0
50,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food. That's why food poisoning is prevalent., That's why food poisoning is prevalent,poisoning,prevalent, , ,0.0
51,Wtf I better not get food poisoning again. This shit is not okay,Wtf I better not get food poisoning again, ,Wtf,I, ,0.0
51,Wtf I better not get food poisoning again. This shit is not okay,Wtf I better not get food poisoning again, ,get,poisoning, ,0.0
51,Wtf I better not get food poisoning again. This shit is not okay, This shit is not okay,shit,okay, , ,0.0
52,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything.,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything,Anyone,wan, , ,0.0
52,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything.,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything,Anyone,hit,Anthony, ,0.0
52,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything.,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything,I,give,fuck, ,0.0
52,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything.,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything,you,got,poisoning, ,0.2
52,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything.,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything,you,lie, , ,0.0
53,Food poisoning-1 Erin-0. Happy finals week. I hate you PaneraBread. I really really hate you., I hate you PaneraBread,I,hate, , ,0.2
53,Food poisoning-1 Erin-0. Happy finals week. I hate you PaneraBread. I really really hate you., I hate you PaneraBread,you,PaneraBread, , ,0.0
53,Food poisoning-1 Erin-0. Happy finals week. I hate you PaneraBread. I really really hate you., I really really hate you,I,hate,you, ,0.0
54,@DanMewler sheetz has given me food poisoning at least once but idk sometimes that's just what u need,@DanMewler sheetz has given me food poisoning at least once but idk sometimes that's just what u need,sheetz,given,food, ,0.0
54,@DanMewler sheetz has given me food poisoning at least once but idk sometimes that's just what u need,@DanMewler sheetz has given me food poisoning at least once but idk sometimes that's just what u need,that,'s, , ,0.0
54,@DanMewler sheetz has given me food poisoning at least once but idk sometimes that's just what u need,@DanMewler sheetz has given me food poisoning at least once but idk sometimes that's just what u need,u,need, , ,0.0
55,Food poisoning is one of the worst things I have ever experienced! Ã­Â Â½Ã­Â¸Â£,Food poisoning is one of the worst things I have ever experienced! ,poisoning,one, , ,0.0
55,Food poisoning is one of the worst things I have ever experienced! Ã­Â Â½Ã­Â¸Â£,Food poisoning is one of the worst things I have ever experienced! ,I,experienced, , ,0.0
56,@thenaptownmedic no. i was too busy dying in nashville with food poisoning, i was too busy dying in nashville with food poisoning,i,busy, , ,0.0
57,V proud of myself for making ravioli and homemade Alfredo sauce AND brownies and not burning anything OR getting food poisoning. Ã­Â Â½Ã­Â±Â?,V proud of myself for making ravioli and homemade Alfredo sauce AND brownies and not burning anything OR getting food poisoning, ,making,brownies, ,0.0
57,V proud of myself for making ravioli and homemade Alfredo sauce AND brownies and not burning anything OR getting food poisoning. Ã­Â Â½Ã­Â±Â?,V proud of myself for making ravioli and homemade Alfredo sauce AND brownies and not burning anything OR getting food poisoning, ,burning,OR, ,0.0
57,V proud of myself for making ravioli and homemade Alfredo sauce AND brownies and not burning anything OR getting food poisoning. Ã­Â Â½Ã­Â±Â?,V proud of myself for making ravioli and homemade Alfredo sauce AND brownies and not burning anything OR getting food poisoning, ,getting,poisoning, ,0.6
58,I think I have food poisoning Ã­Â Â½Ã­Â¸Â©Ã­Â Â½Ã­Â¸Â©,I think I have food poisoning ,I,think, , ,100.0
58,I think I have food poisoning Ã­Â Â½Ã­Â¸Â©Ã­Â Â½Ã­Â¸Â©,I think I have food poisoning ,I,have,poisoning, ,0.9
59,@dazeavila you should drink to go home early from food poisoning,@dazeavila you should drink to go home early from food poisoning,you,drink, , ,0.0
59,@dazeavila you should drink to go home early from food poisoning,@dazeavila you should drink to go home early from food poisoning,you,go,home, ,0.0
61,Pretty sure I have food poisoning. It's gonna be a long night.,Pretty sure I have food poisoning,I,have,poisoning, ,0.9
61,Pretty sure I have food poisoning. It's gonna be a long night., It's gonna be a long night,It,gon, , ,0.0
61,Pretty sure I have food poisoning. It's gonna be a long night., It's gonna be a long night,It,night, , ,0.0
64,@Eric_Edholm sounds like something that would give you food poisoning,@Eric_Edholm sounds like something that would give you food poisoning,@Eric_Edholm,sounds, , ,0.0
64,@Eric_Edholm sounds like something that would give you food poisoning,@Eric_Edholm sounds like something that would give you food poisoning,something,give,poisoning, ,0.0
65,@ozzyugi hahaha. Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too., Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too,I,feel, , ,0.0
65,@ozzyugi hahaha. Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too., Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too,I,gon, , ,0.0
65,@ozzyugi hahaha. Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too., Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too,I,want,pizza, ,0.0
65,@ozzyugi hahaha. Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too., Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too,you,bring,that, ,0.0
66,Oh. Zayn got food poisoning., Zayn got food poisoning,Zayn,got,poisoning, ,0.0
68,Sick on the couch watching Home Alone. Food poisoning you're no fun.,Sick on the couch watching Home Alone, ,watching,Alone, ,0.0
68,Sick on the couch watching Home Alone. Food poisoning you're no fun., Food poisoning you're no fun,Food,poisoning, , ,0.0
68,Sick on the couch watching Home Alone. Food poisoning you're no fun., Food poisoning you're no fun,you,fun, , ,0.0
69,@sammayb4 food poisoning is the actual worst,@sammayb4 food poisoning is the actual worst,poisoning,worst, , ,0.8
70,Managed to get a new synth while enjoying a rousing bout of food poisoning. Silver lining to the day I guess.,Managed to get a new synth while enjoying a rousing bout of food poisoning, ,get,synth, ,0.0
70,Managed to get a new synth while enjoying a rousing bout of food poisoning. Silver lining to the day I guess.,Managed to get a new synth while enjoying a rousing bout of food poisoning, ,enjoying,bout,poisoning,0.0
70,Managed to get a new synth while enjoying a rousing bout of food poisoning. Silver lining to the day I guess., Silver lining to the day I guess,I,guess, , ,0.0
71,I think I have food poisoning. However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month.,I think I have food poisoning,I,think, , ,100.0
71,I think I have food poisoning. However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month.,I think I have food poisoning,I,have,poisoning, ,0.9
71,I think I have food poisoning. However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month., However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month,it,going, , ,0.0
